schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,scheduled_entry_target,entry_atr
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.03 22:05:01,2026_P2,EXIT_TRANSACTION,NONE,56,BUY,1.1598900000,1.1598900000,0,0.0000,0.12000000,0,0,57,57,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.04 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.06.04 17:00:00,0,BUY,1.1628400000,0.0000000000,12,0.0000,0.13000000,24.57000000,1.1609500000,58,58,10009,NONE,NO,2026.06.04 18:05:00,0.000943472021
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.04 22:05:01,2026_P2,EXIT_ATTEMPT,2026.06.04 21:00:00,58,BUY,1.1614000000,0.0000000000,0,0.0000,0.13000000,0,0,59,59,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.04 22:05:01,2026_P2,EXIT_TRANSACTION,NONE,58,BUY,1.1614000000,1.1614000000,0,0.0000,0.13000000,0,0,59,59,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.05 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.06.05 17:00:00,0,BUY,1.1556100000,0.0000000000,12,0.0000,0.09000000,24.12000000,1.1529300000,60,60,10009,NONE,NO,2026.06.05 18:05:00,0.001338465583
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.05 19:02:41,2026_P2,EXIT_TRANSACTION,NONE,60,BUY,0.0000000000,1.1529300000,0,0.0000,0.09000000,0,0,61,61,0,STOP_LOSS_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.08 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.06.08 17:00:00,0,BUY,1.1544700000,0.0000000000,12,0.0000,0.09000000,24.57000000,1.1517400000,62,62,10009,NONE,NO,2026.06.08 18:05:00,0.001360397022
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.08 22:05:00,2026_P2,EXIT_ATTEMPT,2026.06.08 21:00:00,62,BUY,1.1532600000,0.0000000000,0,0.0000,0.09000000,0,0,63,63,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.08 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,62,BUY,1.1532600000,1.1532600000,0,0.0000,0.09000000,0,0,63,63,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.09 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.06.09 17:00:00,0,BUY,1.1564200000,0.0000000000,11,0.0000,0.11000000,22.66000000,1.1543600000,64,64,10009,NONE,NO,2026.06.09 18:05:00,0.001029088700
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.09 19:22:29,2026_P2,EXIT_TRANSACTION,NONE,64,BUY,0.0000000000,1.1542800000,0,0.0000,0.11000000,0,0,65,65,0,STOP_LOSS_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.10 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.06.10 17:00:00,0,BUY,1.1553800000,0.0000000000,13,0.0000,0.09000000,22.95000000,1.1528300000,66,66,10009,NONE,NO,2026.06.10 18:05:00,0.001273029984
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.06.10 22:05:00,2026_P2,EXIT_ATTEMPT,2026.06.10 21:00:00,66,BUY,1.1545300000,0.0000000000,0,0.0000,0.09000000,0,0,67,67,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
