schema,server_time,time_msc,event,balance,equity,floating_profit,margin,free_margin,positions
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.03.02 10:05:01,1772445900958,TRADE_TRANSACTION,10637.66000000,10637.66000000,0.00000000,0.00000000,10637.66000000,0
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
SOLTRADE_FXIFY_V28_BALANCE_EVENT_V1,2026.04.06 10:05:01,1775469901208,TRADE_TRANSACTION,10637.66000000,10635.92000000,-1.74000000,399.92000000,10236.00000000,7
