schema,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.18 10:05:00,AUD,AUDUSD,1,3,-0.002219368527,NONE,NONE,2026.05.18 09:00:00,0.7148300000,2026.04.27 09:00:00,0.7164200000,2026.05.25 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.18 10:05:00,NZD,NZDUSD,1,5,-0.006506302450,NONE,NONE,2026.05.18 09:00:00,0.5848300000,2026.04.27 09:00:00,0.5886600000,2026.05.25 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.18 10:05:00,CAD,USDCAD,-1,4,-0.006359601252,NONE,NONE,2026.05.18 09:00:00,1.3743000000,2026.04.27 09:00:00,1.3655600000,2026.05.25 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.18 10:05:00,CHF,USDCHF,-1,2,-0.000598421187,LONG,SELL,2026.05.18 09:00:00,0.7854000000,2026.04.27 09:00:00,0.7849300000,2026.05.25 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.18 10:05:00,JPY,USDJPY,-1,1,0.002328713669,LONG,SELL,2026.05.18 09:00:00,158.8860000000,2026.04.27 09:00:00,159.2560000000,2026.05.25 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.25 10:05:00,EUR,EURUSD,1,5,-0.007460904859,NONE,NONE,2026.05.25 09:00:00,1.1640300000,2026.05.04 09:00:00,1.1727800000,2026.06.01 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.25 10:05:00,GBP,GBPUSD,1,4,-0.006958916618,NONE,NONE,2026.05.25 09:00:00,1.3485200000,2026.05.04 09:00:00,1.3579700000,2026.06.01 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.25 10:05:00,AUD,AUDUSD,1,2,-0.004459881903,LONG,BUY,2026.05.25 09:00:00,0.7165400000,2026.05.04 09:00:00,0.7197500000,2026.06.01 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.25 10:05:00,NZD,NZDUSD,1,3,-0.005856961490,NONE,NONE,2026.05.25 09:00:00,0.5872900000,2026.05.04 09:00:00,0.5907500000,2026.06.01 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.05.25 10:05:00,CAD,USDCAD,-1,7,-0.015475190453,SHORT,BUY,2026.05.25 09:00:00,1.3809200000,2026.05.04 09:00:00,1.3595500000,2026.06.01 10:05:00
