schema,server_hour,opening_time_msc,closing_time_msc,opening_balance,opening_equity,closing_balance,closing_equity,minimum_equity,minimum_time_msc,profit_at_minimum,opening_positions,closing_positions,maximum_positions
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 00:00:00,1773619230682,1773622798732,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773619230682,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 01:00:00,1773622800150,1773626399659,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773622800150,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 02:00:00,1773626400063,1773629998275,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773626400063,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 03:00:00,1773630000705,1773633599235,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773630000705,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 04:00:00,1773633600145,1773637199997,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773633600145,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 05:00:00,1773637200403,1773640798484,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773637200403,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 06:00:00,1773640800001,1773644399771,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773640800001,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 07:00:00,1773644400176,1773647995809,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773644400176,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 08:00:00,1773648000364,1773651598906,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773648000364,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2026.03.16 09:00:00,1773651600224,1773655199599,10636.85000000,10636.85000000,10636.85000000,10636.85000000,10636.85000000,1773651600224,0.00000000,0,0,0
